,organic_linker__convex_hull_area,organic_linker__convex_hull_volume,organic_linker__convex_hull_npoints,organic_linker__convex_hull_nsimplex,organic_linker_H_count,organic_linker_C_count,organic_linker_N_count,organic_linker_O_count
1,22.679395486155663,0.003769207000000362,10.0,14.0,4.0,6.0,0.0,0.0
2,6.4966995233637626,1.2613100000000002,4.0,4.0,2.0,2.0,0.0,0.0
3,10.471649563153239,7.548724,8.0,6.0,4.0,4.0,0.0,0.0
4,17.509396882107612,0.0027148276666668883,8.0,10.0,4.0,4.0,0.0,0.0
5,48.122477785357184,0.010662849666667314,16.0,18.0,6.0,10.0,0.0,0.0
6,50.008521906186886,0.012949285500000522,16.0,16.0,6.0,10.0,0.0,0.0
7,80.06199665512659,0.022568328833331486,22.0,22.0,8.0,14.0,0.0,0.0
8,73.63101990808725,0.017339567500000996,22.0,18.0,8.0,14.0,0.0,0.0
9,80.96959924557572,0.024229146500000756,24.0,30.0,8.0,16.0,0.0,0.0
10,95.26531099691005,0.032769773666664184,28.0,28.0,10.0,18.0,0.0,0.0
11,7.920682813538678,0.0004400000000000015,4.0,4.0,0.0,4.0,0.0,0.0
12,59.972101923320594,0.019402376000000623,20.0,20.0,8.0,12.0,0.0,0.0
13,15.400000649350632,0.00308,6.0,4.0,0.0,6.0,0.0,0.0
14,19.685146399965692,0.004038769333333334,8.0,8.0,2.0,6.0,0.0,0.0
15,56.128891020436285,30.8796081545,20.0,24.0,12.0,8.0,0.0,0.0
16,77.09755331704376,53.90956013550001,24.0,24.0,12.0,12.0,0.0,0.0
17,40.14048728344011,18.110606491166667,14.0,12.0,6.0,8.0,0.0,0.0
18,66.60258346809873,38.26915260799999,18.0,12.0,6.0,12.0,0.0,0.0
19,85.01952669503348,0.015598529166666665,24.0,16.0,10.0,14.0,0.0,0.0
20,97.25721043690041,0.021879226666659576,26.0,32.0,8.0,14.0,4.0,0.0
21,176.59425366223465,0.06121372583333238,44.0,38.0,12.0,26.0,2.0,4.0
22,237.69085072769238,0.0799029473333334,58.0,48.0,16.0,36.0,2.0,4.0
23,97.25843723181356,0.02548826200000193,30.0,36.0,12.0,18.0,0.0,0.0
24,16.523638135609982,0.2719075378333327,9.0,14.0,3.0,6.0,0.0,0.0
25,48.88617026320022,0.6090431383333302,15.0,14.0,3.0,12.0,0.0,0.0
26,179.8931746947365,7.039848386333328,39.0,20.0,15.0,24.0,0.0,0.0
27,332.14151644917155,13.634659045833233,45.0,20.0,15.0,30.0,0.0,0.0
28,251.27879887211859,278.0662027799503,49.0,20.0,16.0,33.0,0.0,0.0
29,359.8104550983301,467.071868333333,49.0,20.0,16.0,33.0,0.0,0.0
30,165.52697096664824,154.43169788666668,41.0,20.0,16.0,25.0,0.0,0.0
31,33.95552326327815,9.901258033333335,9.0,4.0,0.0,9.0,0.0,0.0
32,87.97387014342264,0.02744083766666347,28.0,36.0,10.0,18.0,0.0,0.0
33,168.8314348681223,106.33660725799999,40.0,24.0,14.0,26.0,0.0,0.0
34,39.65191354607344,12.139390256166664,14.0,12.0,6.0,8.0,0.0,0.0
35,140.03249515919242,0.06717013899999846,36.0,28.0,10.0,26.0,0.0,0.0
36,161.7502196238798,0.052777290666661286,40.0,34.0,10.0,30.0,0.0,0.0
37,50.59575766607403,0.0011138288669998216,18.0,24.0,6.0,12.0,0.0,0.0
38,87.7757176534413,0.0028717779850048336,28.0,36.0,10.0,18.0,0.0,0.0
39,83.15200074299844,39.15990426379134,20.0,16.0,6.0,14.0,0.0,0.0
40,67.85491047559589,0.002324843389833595,20.0,24.0,6.0,12.0,2.0,0.0
41,41.244671648593844,0.003778329836000949,14.0,18.0,4.0,10.0,0.0,0.0
42,65.84413334404275,0.13802908570316666,20.0,24.0,6.0,14.0,0.0,0.0
43,65.57292097243369,0.05773232246716667,20.0,16.0,6.0,14.0,0.0,0.0
44,79.77837771213308,0.014438599450333331,22.0,24.0,6.0,16.0,0.0,0.0
45,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0
46,78.74209385927347,0.0020299344435020347,22.0,22.0,8.0,14.0,0.0,0.0
47,69.58078353714976,0.0015769683424987223,22.0,24.0,8.0,14.0,0.0,0.0
48,85.5914669339193,0.03840976212166916,24.0,22.0,6.0,14.0,4.0,0.0
49,178.43663010665776,111.54422255715635,42.0,30.0,10.0,26.0,2.0,4.0
50,210.7442602792322,1.848125809666,56.0,40.0,14.0,36.0,2.0,4.0
51,179.67813180581734,148.11917398712419,40.0,24.0,14.0,26.0,0.0,0.0
52,133.55037723091718,0.0971371362555,36.0,24.0,10.0,26.0,0.0,0.0
53,155.25056847729016,0.004658323817666655,40.0,36.0,10.0,30.0,0.0,0.0
54,179.8931746947365,7.039848386333328,36.0,20.0,12.0,21.0,3.0,0.0
55,249.92701224102316,9.936083229166668,43.0,20.0,12.0,24.0,7.0,0.0
56,46.11155410092244,0.012969235833333499,14.0,18.0,4.0,10.0,0.0,0.0
57,83.60078771981883,0.021680818499998183,22.0,26.0,8.0,14.0,0.0,0.0
58,84.31044452980183,0.02790644949999975,22.0,36.0,8.0,12.0,2.0,0.0
59,123.21838804381271,53.92804577116667,30.0,18.0,12.0,18.0,0.0,0.0
